十碼章,醫院名稱,行政區,地址,連絡電話,座標緯度,座標經度
1107320017,義大醫療財團法人義大大昌醫院,64000050,高雄市三民區大昌一路305號,(07)6150011,22.6577272,120.3180026
1107350015,天主教聖功醫療財團法人聖功醫院,64000080,高雄市苓雅區建國一路352號,(07)2238153,22.633118,120.323927
1142010518,高雄市立鳳山醫院,64000120,高雄市鳳山區經武路42號,(07)7418151,22.628564,120.363087
1142100017,長庚醫療財團法人高雄長庚紀念醫院,64000180,高雄市鳥松區鳥松里大埤路123號,(07)7317123,22.649847,120.356029
1142120001,義大醫療財團法人義大醫院,64000210,高雄市燕巢區角宿里義大路1號,(07)6150011,22.765521,120.364451
1202080029,信義醫院,64000080,高雄市苓雅區華新街86號,(07)3321111,22.613969,120.29642
1302050014,財團法人私立高雄醫學大學附設中和紀念醫院,64000050,高雄市三民區安生里自由一路100號,(07)3121101,22.647122,120.310169
1307370011,高雄市立旗津醫院,64000100,高雄市旗津區旗港路33號,(07)5711188,22.59021,120.285113
1442060014,財團法人台灣省私立高雄仁愛之家附設慈惠醫院,64000140,高雄市大寮區鳳屏一路509號,(07)7030315,22.639236,120.397505
1502020056,聖明醫院,64000020,高雄市鼓山區鼓山三路52號,(07)5313755,22.655078,120.275613
1502020065,正大醫院,64000020,高雄市鼓山區鼓山三路128-9號,(07)5823989,22.663874,120.27954
1502031095,馨蕙馨醫院,64000030,高雄市左營區明誠二路541號,(07)5586080,22.66097,120.303829
1502031102,柏仁醫院,64000030,高雄市左營區博愛二路350號,(07)5508888,22.664342,120.303632
1502040021,健仁醫院,64000040,高雄市楠梓區中陽里楠陽路136號,(07)3517166,22.72362,120.328988
1502040076,顏威裕醫院,64000040,高雄市楠梓區秀昌里後昌路826號,(07)3639053,22.711168,120.295692
1502041108,長春醫院,64000040,高雄市楠梓區右昌街331號,(07)3612995,22.714272,120.2891
1502041117,右昌聯合醫院,64000040,高雄市楠梓區軍校路930號,(07)3643388,22.7138,120.290879
1502050045,德謙醫院,64000050,高雄市三民區九如二路18號,(07)3210981,22.640667,120.313205
1502050152,南山醫院,64000050,高雄市三民區建東里建國三路151號,(07)2882101,22.637671,120.298535
1502050170,祐生醫院,64000050,高雄市三民區建國三路60號,(07)2866688,22.637983,120.296106
1502050241,民族醫院,64000050,高雄市三民區民族一路880號,(07)3462802,22.668546,120.317459
1502050296,文雄醫院,64000050,高雄市三民區察哈爾二街132號,(07)3165275,22.64805,120.299645
1502051364,全民醫院,64000050,高雄市三民區九如二路505號,(07)3220066,22.641299,120.298526
1502051426,四季台安醫院,64000050,高雄市三民區聯興路157號,(07)3983000,22.659446,120.313821
1502060014,蕭志文醫院,64000060,高雄市新興區七賢一路102號,(07)2240252,22.633944,120.314331
1502060149,惠仁醫院,64000060,高雄市新興區中山一路67-2號,(07)2010196,22.6298265,120.2992464
1502070029,重仁骨科醫院,64000070,高雄市前金區中華三路247號,(07)2813136,22.63436,120.293712
1502070118,健新醫院,64000070,高雄市前金區七賢二路295號,(07)2613866,22.631322,120.290835
1502081175,邱外科醫院,64000080,高雄市苓雅區成功一路137號,(07)3364131,22.614662,120.297305
1502090209,吳昆哲婦產小兒科醫院,64000090,高雄市前鎮區興東里民權二路430號,(07)3319611,22.61208,120.31439
1502110064,安泰醫院,64000110,高雄市小港區學府路111號,(07)8017856,22.565234,120.36143
1502111089,戴銘浚婦兒醫院,64000110,高雄市小港區宏平路661號,(07)8061289,22.569572,120.351192
1502111098,臨海醫院,64000110,高雄市小港區沿海一路461號,(07)8012171,22.561682,120.356927
1507290012,生安婦產小兒科醫院,64000020,高雄市鼓山區美術東二路177號,(07)5223138,22.662316,120.288311
1507300022,博愛蕙馨醫院,64000030,高雄市左營區博愛二路20號,(07)8628880,22.656832,120.303458
1507320015,新高醫院,64000050,高雄市三民區莊敬路288號,(07)3828814,22.649991,120.318257
1507360019,瑞祥醫院,64000090,高雄市前鎮區班超路92號,(07)7717503,22.602633,120.324938
1507360028,新正薪醫院,64000090,高雄市前鎮區一心一路233號1-4樓,(07)9705335,22.607869,120.317587
1542010052,大東醫院,64000120,高雄市鳳山區三民里光遠路171-2號,(07)7463762,22.625359,120.362012
1542010141,優生婦產小兒科醫院,64000120,高雄市鳳山區自由路189號,(07)7478629,22.625567,120.35099
1542011237,惠德醫院,64000120,高雄市鳳山區福祥街81號,(07)8126000,22.592033,120.325113
1542011282,杏和醫院,64000120,高雄市鳳山區五甲二路389、470號,(07)7613111,22.593659,120.328356
1542020058,劉嘉修醫院,64000190,高雄市岡山區岡山里岡山路428號,(07)6222836,22.795756,120.295867
1542020067,劉光雄醫院,64000190,高雄市岡山區岡山路380-1號,(07)6219156,22.794195,120.2937176
1542021171,惠川醫院,64000190,高雄市岡山區岡山路92號,(07)6229292,22.787987,120.296788
1542030018,重安醫院,64000300,高雄市旗山區大德里大仁街18號,(07)6618471,22.883021,120.484822
1542030063,博愛醫院,64000300,高雄市旗山區延平一路689號,(07)6617602,22.883617,120.483223
1542030116,溪洲醫院,64000300,高雄市旗山區延平一路412號,(07)6621985,22.892772,120.483167
1542040050,三聖醫院,64000310,高雄市美濃區合和路56號,(07)6818495,22.894009,120.54808
1542050056,建佑醫院,64000130,高雄市林園區廣應里東林西路360號,(07)6437901,22.503845,120.386635
1542051151,霖園醫院,64000130,高雄市林園區林園里林園北路244號,(07)6413399,22.5089269,120.3923897
1542061077,樂生婦幼專科醫院,64000140,高雄市大寮區永芳里鳳林三路532號,(07)7862688,22.606815,120.395585
1542061148,瑞生醫院,64000140,高雄市大寮區中興里鳳林四路192號,(07)7835175,22.617691,120.384874
1542110020,泰和醫院,64000200,高雄市橋頭區成功路101號,(07)6111128,22.75876,120.309606
1542140046,長佑醫院,64000230,高雄市阿蓮區清蓮里中山路150號,(07)6311267,22.877576,120.327731
1542150033,溫有諒醫院,64000240,高雄市路竹區竹南村延平路57號,(07)6965136,22.857968,120.258689
1542150042,高新醫院,64000240,高雄市路竹區中山路627號,(07)6975903,22.865457,120.257157
2342010013,高雄市鳳山區衛生所,64000120,高雄市鳳山區經武路34巷2號,(07)7430437,22.627214,120.363023
2342020019,高雄市岡山區衛生所,64000190,高雄市岡山區壽天路16-2號,(07)6212015,22.7945964,120.2890853
2342030015,高雄市旗山區衛生所,64000300,高雄市旗山區湄洲里中正路197號,(07)6612054,22.889792,120.479888
2342040011,高雄市美濃區衛生所,64000310,高雄市美濃區合和里美中路246號,(07)6812064,22.895215,120.541286
2342050017,高雄市林園區衛生所,64000130,高雄市林園區林園里林園北路186號,(07)6412404,22.507665,120.395238
2342060013,高雄市大寮區衛生所,64000140,高雄市大寮區進學路129巷2-1號,(07)7811965,22.604532,120.393595
2342070019,高雄市大樹區衛生所,64000150,高雄市大樹區中興北路120號,(07)6512935,22.693326,120.433045
2342080015,高雄市仁武區衛生所,64000170,高雄市仁武區地政街23號,(07)3711434,22.700798,120.351568
2342090011,高雄市大社區衛生所,64000160,高雄市大社區自強街7號,(07)3511774,22.731046,120.346833
2342100012,高雄市鳥松區衛生所,64000180,高雄市鳥松區鳥松里文前路文北巷1弄4號,(07)7316404,22.663573,120.3605968
2342110018,高雄市橋頭區衛生所,64000200,高雄市橋頭區隆豐北路5號,(07)6113516,22.7515552,120.3068786
2342120014,高雄市燕巢區衛生所,64000210,高雄市燕巢區南燕村中興路2號,(07)6161148,22.79303,120.361659
2342130010,高雄市田寮區衛生所,64000220,高雄市田寮區南安村崗北路32號,(07)6361504,22.873012,120.359378
2342140016,高雄市阿蓮區衛生所,64000230,高雄市阿蓮區民生路94-1號,(07)6317141,22.882809,120.327524
2342150012,高雄市路竹區衛生所,64000240,高雄市路竹區國昌路86巷22號,(07)6962449,22.855301,120.258937
2342160018,高雄市湖內區衛生所,64000250,高雄市湖內區湖中路203號,(07)6993009,22.905245,120.222385
2342170014,高雄市茄萣區衛生所,64000260,高雄市茄萣區濱海路二段1號,(07)6989275,22.888198,120.184994
2342180010,高雄市永安區衛生所,64000270,高雄市永安區永安里永安路26號,(07)6912015,22.818792,120.225366
2342190016,高雄市彌陀區衛生所,64000280,高雄市彌陀區中華路1巷5弄1號,(07)6175307,22.782146,120.250575
2342200017,高雄市梓官區衛生所,64000290,高雄市梓官區梓信里公館路45號,(07)6103050,22.764651,120.267641
2342210013,高雄市六龜區衛生所,64000320,高雄市六龜區六龜里民治路18號,(07)6891244,22.9980939,120.6311182
2342220019,高雄市甲仙區衛生所,64000330,高雄市甲仙區和安里中山路52號,(07)6751029,23.083935,120.587454
2342230015,高雄市杉林區衛生所,64000340,高雄市杉林區上平里上仙路93巷2號,(07)6771319,22.976933,120.538613
2342240011,高雄市內門區衛生所,64000350,高雄市內門區觀亭里16鄰中埔頭20號,(07)6671088,22.9244272,120.4516262
2342250017,高雄市茂林區衛生所,64000360,高雄市茂林區茂林里茂林巷8-4號,(07)6801046,22.8863299,120.6615183
2342260013,高雄市桃源區衛生所,64000370,高雄市桃源區桃源里南進巷188-1號,(07)6861126,23.158454,120.764176
2342270019,高雄市那瑪夏區衛生所,64000380,高雄市那瑪夏區瑪雅里6鄰平和巷252號,(07)6701142,23.2381279,120.6942523
2402020519,國立中山大學附設醫務室,64000020,高雄市鼓山區蓮海路70號,(07)5250115,22.626461,120.265991
2502090013,國軍高雄門診中心附設民眾診療服務處,64000090,高雄市前鎮區興東里光華二路51號,(07)3344003,22.60993,120.316794
2602040524,國軍退除役官兵輔導委員會高雄榮譽國民之家醫務室,64000040,高雄市楠梓區加昌路631號,(07)3652828,22.716397,120.302349
2642120010,國軍退除役官兵輔導委員會岡山榮譽國民之家,64000210,高雄市燕巢區安招里成功路1號,(07)6161214,22.786321,120.362099
2702040071,台灣中油股份有限公司煉製事業部國光聯合診所,64000040,高雄市楠梓區後昌路546巷2號,(07)5824141,22.708342,120.2988343
3502010187,木雄婦產科診所,64000010,高雄市鹽埕區大禮街60號,(07)5618121,22.622187,120.28767
3502010329,劉應炎診所,64000010,高雄市鹽埕區大公路98、100號,(07)5511051,22.627753,120.282125
3502010427,施家庭醫學科診所,64000010,高雄市鹽埕區新興街118號,(07)5324460,22.627066,120.282072
3502010463,盧榮坤小兒科診所,64000010,高雄市鹽埕區莒光街137號,(07)5315657,22.622795,120.284122
3502010507,汪昇勳耳鼻喉科診所,64000010,高雄市鹽埕區瀨南街225-1號,(07)5216655,22.628023,120.284116
3502020183,鼎新診所,64000020,高雄市鼓山區鼓波街42-11號,(07)5512013,22.622233,120.271651
3502020254,柯文良小兒科診所,64000020,高雄市鼓山區華榮路352號,(07)5535760,22.667704,120.296152
3502020316,家安診所,64000020,高雄市鼓山區明誠里裕誠路1515號,(07)5541515,22.664864,120.295185
3502020423,謝加晉診所,64000020,高雄市鼓山區民利街1號1樓,(07)5532526,22.66132,120.294996
3502020503,建元診所,64000020,高雄市鼓山區裕誠路1143、1145號,(07)5543957,22.665634,120.297679
3502020549,腎美診所,64000020,高雄市鼓山區中華一路336號1樓,(07)5544900,22.664309,120.292173
3502021635,明誠聯合診所,64000020,高雄市鼓山區中華一路310號,(07)5538665,22.665633,120.291402
3502021733,祐琳小兒科診所,64000020,高雄市鼓山區裕誠路1180號,(07)5551870,22.666021,120.297486
3502021760,容婦產科診所,64000020,高雄市鼓山區明誠三路487號,(07)5541000,22.660985,120.300473
3502022114,祐安小兒科診所,64000020,高雄市鼓山區九如四路1410號,(07)5318616,22.658201,120.279276
3502022150,建生診所,64000020,高雄市鼓山區美術東四路325號,(07)5555366,22.660824,120.290101
3502022203,吳展名診所,64000020,高雄市鼓山區明誠三路598號,(07)5535658,22.661335,120.297421
3502022230,鄭廣仁小兒科診所,64000020,高雄市鼓山區華榮路207號,(07)5555350,22.665539,120.296746
3502030036,田源診所,64000030,高雄市左營區政德路230號,(07)3432641,22.677223,120.30024
3502030072,德仁診所,64000030,高雄市左營區勝利路190號,(07)5819228,22.681579,120.288604
3502030143,吳光男小兒科內科診所,64000030,高雄市左營區?後街19號,(07)5812871,22.684174,120.288136
3502030189,胡義祥內兒科診所,64000030,高雄市左營區左營大路85號,(07)5826811,22.682462,120.288194
3502030385,馬遠成診所,64000030,高雄市左營區果峰街2巷2號3號1樓,(07)5832348,22.670464,120.289197
3502030474,傳家家庭醫學科診所,64000030,高雄市左營區裕誠路265號,(07)5587919,22.664699,120.309159
3502030483,蔡鶴峰診所,64000030,高雄市左營區後昌路601號,(07)3661818,22.707707,120.29952
3502030616,長安診所,64000030,高雄市左營區左營大路253號1樓,(07)5821864,22.686183,120.290476
3502030643,黃昭文診所,64000030,高雄市左營區自由二路255號,(07)5592289,22.6624537,120.3059872
3502030723,楊宜璋耳鼻喉科診所,64000030,高雄市左營區明誠二路362號,(07)5591007,22.66125,120.307228
3502030750,沈嘉充診所,64000030,高雄市左營區中華一路5號,(07)5851778,22.669611,120.2846577
3502030876,李建中診所,64000030,高雄市左營區崇德路238號,(07)3498018,22.675255,120.304748
3502030947,國聖診所,64000030,高雄市左營區文慈路150號,(07)3506203,22.681833,120.318117
3502032110,張簡耳鼻喉科診所,64000030,高雄市左營區自由三路300號,(07)3454185,22.674069,120.312325
3502032192,金仁福診所,64000030,高雄市左營區華夏路228號,(07)5529843,22.669937,120.296711
3502032227,李凱斌小兒科診所,64000030,高雄市左營區文莊路53號,(07)3454784,22.6774015,120.3099618
3502032316,王欽程診所,64000030,高雄市左營區華夏路1141號,(07)3491111,22.6843709,120.3068563
3502032325,華夏診所,64000030,高雄市左營區華夏路708號1樓,(07)3453961,22.6779064,120.3000826
3502032432,薛智峰耳鼻喉科診所,64000030,高雄市左營區新光里華夏路703號,(07)3439190,22.678188,120.302074
3502032585,李錦源小兒診所,64000030,高雄市左營區左營大路139-1號,(07)5851188,22.683901,120.288975
3502032594,陳進成診所,64000030,高雄市左營區華夏路985號1樓,(07)3503387,22.681534,120.305338
3502032610,乃聖診所,64000030,高雄市左營區文強路232號1樓,(07)3500041,22.676876,120.307728
3502032638,王津勝小兒科診所,64000030,高雄市左營區華夏路260號,(07)5533243,22.670616,120.297122
3502032656,吉祥診所,64000030,高雄市左營區翠華路601巷75號,(07)5810757,22.672416,120.289568
3502032781,晨田耳鼻喉科診所,64000030,高雄市左營區福山里榮佑路41號,(07)3508893,22.681703,120.320644
3502032790,康澤小兒科診所,64000030,高雄市左營區自由三路382號1樓,(07)3453356,22.674981,120.31259
3502032861,陳俊男診所,64000030,高雄市左營區自由二路216號1樓,(07)5506531,22.66383,120.308519
3502032889,李全忠診所,64000030,高雄市左營區自由三路528號,(07)3450696,22.678381,120.313592
3502032941,龔晉賢內科診所,64000030,高雄市左營區左營大路514-6號,(07)5887903,22.689394,120.29552
3502033082,恩欣小兒科診所,64000030,高雄市左營區自由四路324號,(07)3451966,22.684915,120.316579
3502033297,福山診所,64000030,高雄市左營區重愛路218號1樓,(07)3482323,22.685597,120.315601
3502033304,永霖小兒科診所,64000030,高雄市左營區孟子路415號1樓,(07)3498118,22.6755,120.307684
3502033313,裕生診所,64000030,高雄市左營區富民路342號2樓,(07)5563707,22.664258,120.305286
3502033329,陳信旭小兒科診所,64000030,高雄市左營區明華一路156號1樓,(07)5590256,22.6629192,120.3048375
3502033420,富誠診所,64000030,高雄市左營區富國路355號,(07)5560925,22.666859,120.307305
3502033573,楊東穎診所,64000030,高雄市左營區自由三路327號1樓,(07)3505726,22.674198,120.311865
3502040078,歐慈德內科診所,64000040,高雄市楠梓區後昌路915號,(07)3633900,22.71339,120.293728
3502040238,楊煌榮內兒科診所,64000040,高雄市楠梓區加昌路972號,(07)3618293,22.71306,120.290574
3502040309,宏生診所,64000040,高雄市楠梓區樂群路179巷2號,(07)3619412,22.718957,120.296716
3502040390,康健軍診所,64000040,高雄市楠梓區後昌路799號,(07)3614685,22.710652,120.295556
3502040434,苑秉純診所,64000040,高雄市楠梓區軍校路792號,(07)3645885,22.709847,120.293029
3502040550,宏育診所,64000040,高雄市楠梓區樂群路241號,(07)3655331,22.72058,120.296127
3502040578,健安診所,64000040,高雄市楠梓區岳陽街53號,(07)3529801,22.729749,120.3285023
3502040596,高耿耀診所,64000040,高雄市楠梓區建楠路179號,(07)3529803,22.726808,120.3236223
3502040649,楊雲志診所,64000040,高雄市楠梓區軍校路676號,(07)3643826,22.707155,120.293047
3502040667,陳顯明診所,64000040,高雄市楠梓區德賢路265號,(07)3648127,22.726114,120.303945
3502040685,康東原診所,64000040,高雄市楠梓區右昌街376號,(07)3610115,22.715042,120.28898
3502040738,常德診所,64000040,高雄市楠梓區常德路331號,(07)3537431,22.737471,120.337161
3502040809,聖昌診所,64000040,高雄市楠梓區後昌路773號,(07)3639666,22.710221,120.295993
3502040818,佑強診所,64000040,高雄市楠梓區德民路908號,(07)3683690,22.72131,120.28959
3502041860,孫欲珍小兒科家庭醫學科診所,64000040,高雄市楠梓區德賢路241號,(07)3613709,22.7264441,120.3051886
3502041888,祥霖診所,64000040,高雄市楠梓區德賢路530巷9號,(07)3630930,22.726402,120.301729
3502041913,周祖佑小兒科診所,64000040,高雄市楠梓區楠梓新路255號,(07)3531266,22.728529,120.325931
3502041977,冠全診所,64000040,高雄市楠梓區德民路1002-12號,(07)3602123,22.720299,120.287652
3502042036,仁安診所,64000040,高雄市楠梓區後昌路1165號,(07)3684128,22.717288,120.29093
3502042054,杏生婦產科診所,64000040,高雄市楠梓區德民路290號,(07)3658288,22.725964,120.307495
3502042223,王建安小兒科診所,64000040,高雄市楠梓區德民路949號,(07)3600680,22.720534,120.289114
3502042248,廣佑安診所,64000040,高雄市楠梓區後昌路678號,(07)3605998,22.709023,120.297772
3502042269,健康家庭醫學診所,64000040,高雄市楠梓區清豐二路86號,(07)3535296,22.737477,120.330894
3502042296,長義診所,64000040,高雄市楠梓區惠民路46號,(07)3640553,22.724916,120.298573
3502042312,家福耳鼻喉科診所,64000040,高雄市楠梓區後昌新路15號,(07)3609988,22.718476,120.291688
3502050378,董金山診所,64000050,高雄市三民區大昌二路544號,(07)3833405,22.651829,120.33018
3502051080,李坤泰診所,64000050,高雄市三民區覺民路186號,(07)3833282,22.639587,120.340243
3502051133,黃義霖診所,64000050,高雄市三民區澄和路6號,(07)3857422,22.6444657,120.3437963
3502051348,曾繁英診所,64000050,高雄市三民區自立一路267號,(07)3111048,22.64239,120.296066
3502051375,蕭瑞榮小兒科診所,64000050,高雄市三民區建工路531、533號,(07)3867121,22.647856,120.315414
3502051428,張倉銓診所,64000050,高雄市三民區大順二路183號,(07)3808538,22.642945,120.326431
3502051544,莊永昌診所,64000050,高雄市三民區建工路332號,(07)3922289,22.653186,120.33067
3502051599,徐樹本小兒科診所,64000050,高雄市三民區建興路373號,(07)3867833,22.646792,120.32215
3502051642,羅韻珊小兒科診所,64000050,高雄市三民區寶興里大豐二路110-1號1樓,(07)3870430,22.64583,120.328851
3502051955,胡榿小兒科診所,64000050,高雄市三民區九如一路820號,(07)3827356,22.640161,120.31949
3502052121,王俊仁耳鼻喉科診所,64000050,高雄市三民區陽明路416號,(07)3959039,22.646237,120.34295
3502052130,振祐診所,64000050,高雄市三民區大豐二路154號,(07)3805909,22.64551,120.330751
3502052149,王婦產科診所,64000050,高雄市三民區九如一路440號,(07)3873979,22.638969,120.330132
3502052274,醫鼎診所,64000050,高雄市三民區裕誠路101號,(07)3506789,22.66368,120.313681
3502052292,王漢卿小兒科診所,64000050,高雄市三民區陽明路132號,(07)3877918,22.640579,120.341836
3502052498,范雅修小兒科診所,64000050,高雄市三民區平等路163號,(07)3876366,22.64219,120.320831
3502052523,吉星小兒科診所,64000050,高雄市三民區天祥一路135-1號,(07)3487936,22.667208,120.320051
3502052694,育明診所,64000050,高雄市三民區民族一路537號,(07)3478461,22.666021,120.31634
3502052729,開元診所,64000050,高雄市三民區陽明路21號,(07)3873595,22.637622,120.340878
3502053904,許聰騰診所,64000050,高雄市三民區大昌二路100號,(07)3981023,22.642898,120.332316
3502054250,黃學武家醫科診所,64000050,高雄市三民區大昌二路23號,(07)3815668,22.639288,120.332066
3502054296,長清診所,64000050,高雄市三民區九如一路135號,(07)3851441,22.636691,120.3405
3502054527,黃志維耳鼻喉科診所,64000050,高雄市三民區建工路608號,(07)3947605,22.649477,120.323138
3502054536,茂田診所,64000050,高雄市三民區明誠一路236號,(07)3109506,22.659898,120.326039
3502054652,高鳳診所,64000050,高雄市三民區灣中街328號,(07)3865481,22.649971,120.317952
3502054698,德恩內科診所,64000050,高雄市三民區民族一路390號,(07)3958282,22.652779,120.315468
3502054929,承安耳鼻喉科診所,64000050,高雄市三民區力行路250號,(07)3160789,22.638179,120.286393
3502055024,蔡智禮診所,64000050,高雄市三民區北平一街132號,(07)3225728,22.650209,120.305056
3502055211,明陽診所,64000050,高雄市三民區陽明路65號,(07)3963488,22.638967,120.341106
3502055275,明榮診所,64000050,高雄市三民區熱河一街370號,(07)3222875,22.64395,120.305816
3502055293,元成診所,64000050,高雄市三民區陽明路81號,(07)3903808,22.639694,120.341262
3502055389,禾泰診所,64000050,高雄市三民區陽明路68號,(07)3903812,22.639506,120.341623
3502055499,偉倫小兒科診所,64000050,高雄市三民區鼎山街256號,(07)3800333,22.659671,120.321716
3502060070,瑞益內兒科診所,64000060,高雄市新興區復興二路107號,(07)2312901,22.62276,120.309137
3502060150,葉英鏘診所,64000060,高雄市新興區洛陽街1號,(07)2387871,22.632684,120.309031
3502060534,紀耳鼻喉科診所,64000060,高雄市新興區林森一路154-1號,(07)2719087,22.629749,120.304734
3502060632,展華內兒科診所,64000060,高雄市新興區八德一路182號,(07)2386222,22.635708,120.308704
3502061139,毛重富耳鼻喉科診所,64000060,高雄市新興區復興一路107-1號,(07)2350168,22.6328768,120.3060125
3502061291,謝德利診所,64000060,高雄市新興區林森一路158號,(07)2413308,22.630029,120.304775
3502062976,家佳診所,64000060,高雄市新興區和平一路193號,(07)2234383,22.630779,120.317574
3502063035,蔡瑞聲診所,64000060,高雄市新興區仁聲里中正三路63號,(07)2413388,22.630768,120.307841
3502063062,增田診所,64000060,高雄市新興區八德一路155號,(07)2363128,22.635313,120.309255
3502063115,健和診所,64000060,高雄市新興區青年一路278號,(07)2513388,22.621866,120.30718
3502063259,偉峰診所,64000060,高雄市新興區林森一路126號一樓,(07)2820396,22.628484,120.304599
3502063302,吳國欽內科診所,64000060,高雄市新興區民主路71號,(07)2870789,22.632585,120.298685
3502070450,蔡國晉家庭醫學科診所,64000070,高雄市前金區瑞源路189號,(07)2858371,22.63484,120.295939
3502070834,大明診所,64000070,高雄市前金區新田路220號,(07)2413103,22.621047,120.299575
3502072258,宏祐診所,64000070,高雄市前金區中正四路124號,(07)2856777,22.630159,120.297468
3502072267,嘉醫診所,64000070,高雄市前金區中華三路86號,(07)2411891,22.627944,120.2967
3502072589,德和診所,64000070,高雄市前金區自強一路18號,(07)2515106,22.629393,120.293887
3502080011,五塊厝診所,64000080,高雄市苓雅區三多一路139、141號,(07)7614545,22.621457,120.328074
3502080027,林文樹小兒科內科診所,64000080,高雄市苓雅區福康里武慶三路89號,(07)7611286,22.621481,120.331532
3502080107,張清雲內科小兒科診所,64000080,高雄市苓雅區苓雅里成功一路155號,(07)3314071,22.615717,120.296897
3502080214,安田婦產科診所,64000080,高雄市苓雅區三多二路353號,(07)7255167,22.618275,120.3158859
3502080670,吳國松心臟科診所,64000080,高雄市苓雅區三多二路283號,(07)7614892,22.618714,120.319856
3502080698,黃賢慶內兒科診所,64000080,高雄市苓雅區興中一路298號,(07)3311062,22.616114,120.305331
3502080732,許桂庭診所,64000080,高雄市苓雅區福德二路47號,(07)7222634,22.6314,120.327847
3502080787,羅吉雄內外科診所,64000080,高雄市苓雅區興中一路259號,(07)3348118,22.617464,120.310372
3502080894,林國坤診所,64000080,高雄市苓雅區建國一路115-4號,(07)7225391,22.631493,120.332737
3502081499,陳清裕小兒科診所,64000080,高雄市苓雅區福隆里三多一路327號,(07)7517221,22.621667,120.328586
3502081551,蔡小兒科,64000080,高雄市苓雅區林泉街19號,(07)7238382,22.62341,120.319766
3502081631,柯武鎮診所,64000080,高雄市苓雅區福壽街193號,(07)7131840,22.626418,120.32637
3502081659,泰順診所,64000080,高雄市苓雅區光華一路148-95號,(07)2241595,22.626225,120.314992
3502081793,健維診所,64000080,高雄市苓雅區福建街25號,(07)3344637,22.618764,120.316578
3502081882,小貝貝診所,64000080,高雄市苓雅區光華一路25號,(07)3383099,22.61892,120.317297
3502081971,惠霖診所,64000080,高雄市苓雅區建國一路111號1樓,(07)7159500,22.630958,120.334369
3502081980,楊朝欽內科診所,64000080,高雄市苓雅區三多三路238號,(07)3349010,22.614645,120.305921
3502082209,劉永豐診所,64000080,高雄市苓雅區建國一路15-1號,(07)7492636,22.62887,120.340528
3502083395,邱靖媛小兒科診所,64000080,高雄市苓雅區武慶三路89號,(07)7215153,22.621481,120.331532
3502083546,童春診所,64000080,高雄市苓雅區武慶三路98號,(07)7210983,22.62047,120.331852
3502083608,昱泰診所,64000080,高雄市苓雅區興中一路227號1-3樓,(07)5378767,22.617839,120.311518
3502083626,吳玉衡兒科,64000080,高雄市苓雅區青年一路1-17號1樓,(07)7234526,22.6244686,120.3136651
3502083822,聖安診所,64000080,高雄市苓雅區大順三路186號,(07)7277057,22.633461,120.326154
3502083902,同慶診所,64000080,高雄市苓雅區同慶路78號,(07)2260957,22.627718,120.321122
3502083911,小太陽診所,64000080,高雄市苓雅區凱旋里和平一路150號,(07)2267753,22.627632,120.319158
3502084150,一誠診所,64000080,高雄市苓雅區建國一路115-5號1樓,(07)7511156,22.631511,120.332693
3502084187,吳三江診所,64000080,高雄市苓雅區憲政路240號,(07)2222088,22.6367,120.321586
3502084230,信君耳鼻喉科診所,64000080,高雄市苓雅區武廟路30號,(07)7168385,22.630064,120.332219
